Date,CumulativeHumanInfected_true,CumulativeHumanInfected_mcmc
2,696,1444.00057721038
3,1392,2582.98149313549
4,2315,3894.96700543348
5,3181,5225.78789817204
6,4274,6478.10480594905
7,5215,7620.10441590411
8,6403,8667.85933566152
9,7799,9668.01143436621
10,9366,10675.5875553388
11,11294,11753.3685612579
12,13088,12961.3826213417
13,15091,14361.036354487
14,17150,16014.3935443316
15,19532,17986.8271261639
16,21838,20336.3474988773
17,24428,23123.885478754
18,27018,26418.0724945548
19,29817,30257.9135944625
20,32805,34666.7003696046
21,35698,39670.8240061003
22,38857,45239.1568015374
23,42015,51313.6914746881
24,45781,57825.8895378898
25,49547,64633.4469538108
26,53750,71605.387904594
27,58352,78595.3036890804
28,63220,85422.4910598595
29,67726,91972.4389971403
30,72631,98111.2820406224
31,77954,103751.250471018
32,83182,108851.004629027
33,87724,113369.415288859
34,92551,117329.7800225
35,97263,120750.558833183
36,104536,123678.397766678
37,107715,126169.942054992
38,110836,128276.398092311
39,114451,130061.358821263
40,117837,131573.84723673
41,119834,132865.253335696
42,121716,133978.053344511
43,124511,134947.545760736
44,126620,135805.812872472
45,128291,136576.418805903
46,130114,137280.169944136
47,131746,137933.03316498
48,133473,138547.129874437
49,134533,139132.45367063
